Nombre,Citas,Correo,Afiliación,Temas de Interés
JAN FEYEN,15550,ucuenca.edu.ec,Katholieke Universiteit Leuven,"soil physics, hydrology"
DOLORES SUSANA ANDRADE TENESACA,15120,ucuenca.edu.ec,Researcher of Cuenca University (Ecuador),"adolescents, epidemiology, physical fitness, physical activity"
Jose Wilton Garcia Moran,14247,istvr.edu.ec,alumno,todas
Marcos Serrano-Dueñas,13774,puce.edu.ec,Profesor de la Pontificia Universidad Católica del Ecuador,"Neurología, Movimientos Anormales, Investigación Médica"
Silvia Maria Caicedo Briones,13741,utm.edu.ec,Maestrante de Gestión de Talento Humano de la UTM,"Talento Humano, Formacion, Desarrollo"
NARELA JACQUELINE URIBE TOMALA,13347,unemi.edu.ec,Universidad Estatal de Milagro,Educación Infantil
Carlos Lopez Caceres,12666,uta.edu.ec,Universidad Técnica de Ambato,Ingeniería Civil
Angélica Ochoa Avilés,12271,ucuenca.edu.ec,Universidad de Cuenca,"Public Health, Nutrition"
Jesus Echever RS,11800,espol.edu.ec,Profesor de Pedagogía de las Ciencias Experimentales,"Didáctica, Pedagogía y Neurociencia de la Educación …"
ECCER ALEXANDER GARCIA GARCIA,11140,unemi.edu.ec,Estudiante Superior,Enfermeria Estadistica Anatomia Fisiologia …
Gandhy Garcia,10630,unach.edu.ec,Universidad Nacional de Chimborazo,Tecnología
José M. Alvarez-Suarez (ORCID:0000-0001-8509-1498),10414,usfq.edu.ec,Universidad San Francisco de Quito,"Natural antioxidants, Food Chemistry, Oxidative stress, Aging"
